keyword_set,kw_id,kw_label_en,n_pairs,tp,tn,fp,fn,support_pos,support_neg,precision,recall,f1
c,4,life events,27792,1573,6909,19059,251,1824.0,25968.0,0.07624079100426522,0.862390350877193,0.14009618810117563
c,10,self-performance,27792,396,9256,18008,132,528.0,27264.0,0.021517061508367748,0.75,0.04183393196703994
c,14,relation with reality,27792,3235,6302,17122,1133,4368.0,23424.0,0.15891339588347989,0.7406135531135531,0.26167846309403436
c,17,feelings and moods,27792,2859,7293,17043,597,3456.0,24336.0,0.14365390413023818,0.8272569444444444,0.2447983560236322
c,16,writing,27792,1744,8946,16398,704,2448.0,25344.0,0.09613052585161504,0.7124183006535948,0.16940262263234582
c,15,relation with women,27792,2262,10170,14598,762,3024.0,24768.0,0.13416370106761566,0.748015873015873,0.2275196137598069
c,3,spiritual dimension,27792,506,13608,13560,118,624.0,27168.0,0.035973268875302146,0.8108974358974359,0.06889040163376446
c,5,historical events,27792,1586,12339,13533,334,1920.0,25872.0,0.10490111779879621,0.8260416666666667,0.1861611596924702
c,8,aging,27792,143,14116,13484,49,192.0,27600.0,0.010493872459088574,0.7447916666666666,0.020696142991533398
c,12,relation with men,27792,2847,10563,13341,1041,3888.0,23904.0,0.17587101556708673,0.7322530864197531,0.2836222355050807
c,0,self-determination,27792,1504,12760,12584,944,2448.0,25344.0,0.10675752413401476,0.6143790849673203,0.1819061441702951
c,7,childhood and adolescence,27792,907,14772,11820,293,1200.0,26592.0,0.07126581283884655,0.7558333333333334,0.1302505923745243
c,1,home,27792,430,15748,11420,194,624.0,27168.0,0.036286919831223625,0.6891025641025641,0.06894340227673561
c,13,relation with the natural world,27792,352,16975,10385,80,432.0,27360.0,0.032783831610319454,0.8148148148148148,0.0630316053361984
c,9,meloncholy,27792,714,15958,10250,870,1584.0,26208.0,0.06512221816855163,0.45075757575757575,0.11380299649346509
c,6,family,27792,3768,13046,10234,744,4512.0,23280.0,0.2691044136551921,0.8351063829787234,0.407043318569731
c,2,body,27792,3401,12774,9498,2119,5520.0,22272.0,0.2636638499108458,0.616123188405797,0.3692925783158694
c,11,politics,27792,708,21498,5190,396,1104.0,26688.0,0.12004069175991862,0.6413043478260869,0.20222793487574978
c,18,profession of the actress,27792,6556,11249,4543,5444,12000.0,15792.0,0.5906838453914767,0.5463333333333333,0.5676436209359712
k,85,thought,27792,135,3872,23776,9,144.0,27648.0,0.00564593701643595,0.9375,0.011224277696944502
k,77,experience,27792,123,4325,23323,21,144.0,27648.0,0.005246097415337371,0.8541666666666666,0.010428147520135652
k,188,set,27792,1448,3339,22821,184,1632.0,26160.0,0.0596645926902633,0.8872549019607843,0.1118103548125555
k,218,testimonial,27792,118,5347,22301,26,144.0,27648.0,0.005263392658013293,0.8194444444444444,0.010459602003279705
k,216,evidence,27792,125,5823,21825,19,144.0,27648.0,0.0056947608200455585,0.8680555555555556,0.011315289218792433
k,131,remembering,27792,1361,4595,21661,175,1536.0,26256.0,0.05911736599774129,0.8860677083333334,0.11083964492222494
k,96,conflict as an affirmation of the self,27792,391,6057,21303,41,432.0,27360.0,0.018023416612888355,0.9050925925925926,0.035343035343035345
k,145,to feel,27792,418,6708,20604,62,480.0,27312.0,0.019883931119779277,0.8708333333333333,0.038880104176355686
k,86,being another,27792,324,6966,20442,60,384.0,27408.0,0.015602427044206876,0.84375,0.030638297872340424
k,237,choices,27792,158,7785,19815,34,192.0,27600.0,0.007910679417213238,0.8229166666666666,0.01567071658814778
k,22,conflict,27792,464,7686,19530,112,576.0,27216.0,0.023206962088626586,0.8055555555555556,0.04511424404472532
k,98,reciting,27792,1208,7244,18916,424,1632.0,26160.0,0.06002782746968793,0.7401960784313726,0.11104982533553961
k,202,retrospective life,27792,429,8450,18766,147,576.0,27216.0,0.022349570200573064,0.7447916666666666,0.043396894441353494
k,17,life events,27792,2052,6912,18576,252,2304.0,25488.0,0.09947643979057591,0.890625,0.17896389324960754
k,175,transgression,27792,661,8390,18538,203,864.0,26928.0,0.03442887650398458,0.7650462962962963,0.06589243881772416
k,91,complicity,27792,312,9038,18370,72,384.0,27408.0,0.01670056739107162,0.8125,0.032728417077520194
k,97,personagge,27792,962,8236,18356,238,1200.0,26592.0,0.04979811574697174,0.8016666666666666,0.09377132274100791
k,148,unease,27792,292,9107,18349,44,336.0,27456.0,0.015664395686926666,0.8690476190476191,0.030774094957053272
k,24,criticism,27792,91,9362,18334,5,96.0,27696.0,0.004938941655359566,0.9479166666666666,0.009826683224447925
k,252,irony,27792,80,9406,18290,16,96.0,27696.0,0.004354926510615134,0.8333333333333334,0.008664572728257339
k,196,metamorphosis,27792,150,9440,18160,42,192.0,27600.0,0.008192244675040962,0.78125,0.016214463301264727
k,247,spectator,27792,80,9948,17748,16,96.0,27696.0,0.004487323311644604,0.8333333333333334,0.008926578888640927
k,12,self-performance,27792,750,9131,17653,258,1008.0,26784.0,0.040754224854643264,0.7440476190476191,0.07727577146978518
k,66,autorship,27792,383,9694,17522,193,576.0,27216.0,0.02139067299636973,0.6649305555555556,0.04144797359450246
k,217,resistence,27792,317,10123,17285,67,384.0,27408.0,0.0180093171230542,0.8255208333333334,0.03524963860780607
k,6,feelings and moods,27792,2859,7290,17046,597,3456.0,24336.0,0.1436322532027129,0.8272569444444444,0.2447669192243483
k,163,truth,27792,269,10542,16914,67,336.0,27456.0,0.015655007856602454,0.8005952380952381,0.030709515383298133
k,150,imaginary,27792,236,10634,16870,52,288.0,27504.0,0.013796328773529756,0.8194444444444444,0.02713579395193745
k,3,relation with reality,27792,3610,6153,16743,1286,4896.0,22896.0,0.17736942956812263,0.7373366013071896,0.28595191888787674
k,119,watching,27792,107,11160,16488,37,144.0,27648.0,0.006447725218439289,0.7430555555555556,0.012784515204014576
k,11,writing,27792,1745,8950,16394,703,2448.0,25344.0,0.09620155466122719,0.7128267973856209,0.16952445718171663
k,128,accepting,27792,65,11388,16260,79,144.0,27648.0,0.003981623277182236,0.4513888888888889,0.007893618313194486
k,104,memory,27792,768,10595,16189,240,1008.0,26784.0,0.045291030252992866,0.7619047619047619,0.08549958252156972
k,93,desire and attraction,27792,286,11352,16104,50,336.0,27456.0,0.0174496644295302,0.8511904761904762,0.03419825421499462
k,38,managing your own destiny,27792,610,10876,16100,206,816.0,26976.0,0.036505086774386596,0.7475490196078431,0.06961086385940887
k,208,out of picture,27792,114,11607,15993,78,192.0,27600.0,0.007077668094617247,0.59375,0.013988588256948278
k,251,betrayals,27792,147,11744,15856,45,192.0,27600.0,0.009185777666687496,0.765625,0.01815375115776474
k,30,regret,27792,230,11679,15825,58,288.0,27504.0,0.014325755216443475,0.7986111111111112,0.028146607110077704
k,243,resentment,27792,104,11972,15676,40,144.0,27648.0,0.006590621039290241,0.7222222222222222,0.013062044712383824
k,49,care and looking after,27792,340,11685,15675,92,432.0,27360.0,0.02123009678426475,0.7870370370370371,0.04134492612634522
k,55,authenticity,27792,136,12019,15581,56,192.0,27600.0,0.008653050836673665,0.7083333333333334,0.017097240555660316
k,205,sensoriality,27792,86,12134,15514,58,144.0,27648.0,0.0055128205128205125,0.5972222222222222,0.010924796747967478
k,211,transformation of the body,27792,113,12180,15468,31,144.0,27648.0,0.007252422822668635,0.7847222222222222,0.014372019077901433
k,176,measures,27792,87,12568,15128,9,96.0,27696.0,0.005718041406506736,0.90625,0.011364378551368296
k,199,unhappiness,27792,281,12494,14962,55,336.0,27456.0,0.018434691333726955,0.8363095238095238,0.036074202452018735
k,90,interviews,27792,273,12539,14917,63,336.0,27456.0,0.017972350230414748,0.8125,0.0351668169522092
k,102,imagination,27792,116,12689,14911,76,192.0,27600.0,0.007719438344313569,0.6041666666666666,0.015244102766278994
k,92,anguish,27792,251,12658,14846,37,288.0,27504.0,0.016625819699278004,0.8715277777777778,0.03262918427039324
k,171,screenplay,27792,222,12743,14761,66,288.0,27504.0,0.01481679236467997,0.7708333333333334,0.02907471678344575
k,147,disappointment,27792,315,12633,14727,117,432.0,27360.0,0.020941364180295175,0.7291666666666666,0.040713454827452505
k,73,being a woman,27792,690,12359,14665,78,768.0,27024.0,0.04493650276782807,0.8984375,0.08559201141226819
k,189,seduction,27792,213,12877,14627,75,288.0,27504.0,0.014353099730458221,0.7395833333333334,0.028159703860391332
k,9,relation with man,27792,3825,8528,14608,831,4656.0,23136.0,0.20750827320566376,0.821520618556701,0.3313266057429945
k,191,male gaze,27792,185,12912,14592,103,288.0,27504.0,0.012519455911213373,0.6423611111111112,0.02456023896448722
k,32,physical description,27792,436,12788,14428,140,576.0,27216.0,0.029332615715823466,0.7569444444444444,0.05647668393782383
k,16,relation with women,27792,2503,10461,14355,473,2976.0,24816.0,0.14847550124569936,0.8410618279569892,0.2523948774831098
k,177,psychic suffering,27792,388,12962,14350,92,480.0,27312.0,0.026326502917627902,0.8083333333333333,0.05099224602444474
k,164,vocation,27792,577,12669,14307,239,816.0,26976.0,0.03876646062886321,0.7071078431372549,0.07350318471337579
k,230,time for themself,27792,63,13737,13959,33,96.0,27696.0,0.004492939666238768,0.65625,0.008924776880577986
k,210,couple life,27792,416,13307,13957,112,528.0,27264.0,0.02894315730884297,0.7878787878787878,0.05583517884705724
k,25,writers,27792,408,13473,13743,168,576.0,27216.0,0.02883188467246131,0.7083333333333334,0.055408433489509065
k,129,audition,27792,354,13702,13658,78,432.0,27360.0,0.025264059377676278,0.8194444444444444,0.04901689282747162
k,71,artists,27792,250,13893,13611,38,288.0,27504.0,0.018036216723180145,0.8680555555555556,0.03533818644427168
k,18,spiritual dimension,27792,506,13611,13557,118,624.0,27168.0,0.03598094289980801,0.8108974358974359,0.0689044733437734
k,114,activities in the resistance,27792,245,14080,13424,43,288.0,27504.0,0.017923769112590533,0.8506944444444444,0.03510783119581572
k,95,masculine traits,27792,194,14124,13380,94,288.0,27504.0,0.014292028878738766,0.6736111111111112,0.02799018900591545
k,81,civic and social commitment,27792,523,13639,13337,293,816.0,26976.0,0.03773448773448773,0.6409313725490197,0.07127282638321068
k,183,pygmalion relationship,27792,121,14268,13332,71,192.0,27600.0,0.008994276369582993,0.6302083333333334,0.01773543422499084
k,54,abuse,27792,223,14257,13247,65,288.0,27504.0,0.016555308092056423,0.7743055555555556,0.032417502543974415
k,227,losing,27792,77,14499,13197,19,96.0,27696.0,0.005800813620611722,0.8020833333333334,0.011518324607329843
k,244,sexism,27792,174,14425,13127,66,240.0,27552.0,0.013081723178708368,0.725,0.025699726755778744
k,172,make-up and disguise,27792,393,14236,13076,87,480.0,27312.0,0.029178112703244486,0.81875,0.056348125313642555
k,14,aging,27792,595,13853,13027,317,912.0,26880.0,0.04367934224049332,0.6524122807017544,0.08187697812026973
k,117,self-taught,27792,75,14728,12968,21,96.0,27696.0,0.005750210841064173,0.78125,0.011416393941700282
k,186,trauma,27792,242,14609,12895,46,288.0,27504.0,0.018421252949684098,0.8402777777777778,0.03605214152700186
k,144,sensuality,27792,414,14619,12693,66,480.0,27312.0,0.03158617532616159,0.8625,0.060940604990064026
k,101,anti-diva,27792,173,14873,12631,115,288.0,27504.0,0.013511402686660418,0.6006944444444444,0.02642835319278949
k,70,actors,27792,1077,13949,12547,219,1296.0,26496.0,0.07905167351732237,0.8310185185185185,0.14436997319034853
k,99,mirror,27792,281,14919,12537,55,336.0,27456.0,0.021922296770166952,0.8363095238095238,0.042724646495362624
k,228,monstrosity,27792,120,15082,12518,72,192.0,27600.0,0.009495173286912486,0.625,0.018706157443491817
k,149,concentration,27792,104,15183,12465,40,144.0,27648.0,0.00827432572201448,0.7222222222222222,0.0163612050656808
k,68,stage,27792,433,14944,12368,47,480.0,27312.0,0.03382548238418873,0.9020833333333333,0.065205933288156
k,59,forgetting,27792,216,15345,12207,24,240.0,27552.0,0.01738710456411495,0.9,0.03411513859275054
k,5,historical events,27792,3110,11851,12005,826,3936.0,23856.0,0.20575587165067813,0.7901422764227642,0.3264920476615401
k,51,abandonment,27792,163,15661,11939,29,192.0,27600.0,0.01346884812427698,0.8489583333333334,0.026517000162680986
k,42,daily objects,27792,213,15622,11786,171,384.0,27408.0,0.01775147928994083,0.5546875,0.03440200274569975
k,80,partner,27792,567,15321,11703,201,768.0,27024.0,0.04621026894865526,0.73828125,0.08697653014265992
k,82,relationship with other actresses,27792,1183,14576,11632,401,1584.0,26208.0,0.09231369488880219,0.7468434343434344,0.1643169664560039
k,58,emancipation (from the roles of wife and mother),27792,331,15538,11630,293,624.0,27168.0,0.027673271465596522,0.530448717948718,0.05260230433055225
k,79,art,27792,454,15652,11612,74,528.0,27264.0,0.037626388198242995,0.8598484848484849,0.07209782436080672
k,44,pain,27792,794,15269,11611,118,912.0,26880.0,0.06400644901249496,0.8706140350877193,0.11924607644364346
k,146,legal proceedings,27792,225,15902,11602,63,288.0,27504.0,0.019024266508835715,0.78125,0.03714403631861329
k,225,feeling alone,27792,208,15929,11575,80,288.0,27504.0,0.0176525502843079,0.7222222222222222,0.034462761991549996
k,236,simplicity,27792,39,16150,11546,57,96.0,27696.0,0.0033664220975399223,0.40625,0.00667751048711583
k,193,shame,27792,385,15791,11521,95,480.0,27312.0,0.032336636989753066,0.8020833333333334,0.06216696269982239
k,36,mouth,27792,120,16197,11451,24,144.0,27648.0,0.010370754472387866,0.8333333333333334,0.020486555697823303
k,242,cinematographic gaze,27792,33,16267,11429,63,96.0,27696.0,0.0028790786948176585,0.34375,0.005710330507008133
k,209,slap,27792,336,16141,11267,48,384.0,27408.0,0.02895802809618202,0.875,0.05606073246016518
