text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse of this sick [Italian Theatre] without questioning those who have shown that they know with dignity and conscience to exercise this troubled art of ours, that will never rest, that will never touch a goal, because as soon as one has reached, another arises different from conquering. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, that if it is made of so many lives and gives the joy and torment to live them all, tomorrow then it is nothing.",2.0683795674704015,0.7717030048370361,0.7697118520736694,0.860589861869812,0.7984179854393005,0.8947787880897522,0.35263943672180176,0.39192914962768555,0.7341737151145935,0.8302933573722839,0.3538091778755188,0.7553399205207825,0.20911698043346405,0.38417404890060425,0.45805293321609497,0.4693547785282135,0.17963433265686035,0.8236902356147766,0.8367298245429993,0.06943996995687485
"I was fourteen years old when I introduced myself to the secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with a firmer face, I still knocked on that door; and, in the face of such a good and passionate will, here is the first tear from regulations, dates, principles, customs. [...]",2.0683795674704015,0.8750110268592834,0.8875778913497925,0.8889818787574768,0.7619336843490601,0.8864539861679077,0.8474820256233215,0.7068271040916443,0.921362578868866,0.911469578742981,0.8166511058807373,0.8832776546478271,0.339425653219223,0.7879638671875,0.7452850937843323,0.7389601469039917,0.7703101634979248,0.9048591256141663,0.9119333028793335,0.8146186470985413
"[The Academy] was like a second and truer home of mine [...] Ofelia Mazzoni was lending with an enchantment, I would say authoritarian, her teaching; [...] The joy of my first conquest was her judgment [...]. Here then in the second year, replace her, Enrico Reinach: good, fatherly, noble. He could find in me the two veins: the dramatic vein and the comedy vein; therefore, I was among his students the only one to whom each essay was entrusted two scenes, one dramatic and one comic.",2.0683795674704015,0.8133025169372559,0.9356529712677002,0.8891158103942871,0.8347167372703552,0.8586102724075317,0.5727065205574036,0.8608158230781555,0.8403932452201843,0.7671607732772827,0.6151455044746399,0.829138994216919,0.4479132294654846,0.6873304843902588,0.7196415066719055,0.8849364519119263,0.9118085503578186,0.9267004728317261,0.91064453125,0.7122764587402344
"Among the memories of the Academy I cannot leave the greatest: the venture of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good of seeing her face. [...] I had the sense of his physical presence only when Enrico Reinach, at the end of the essay, told me radiantly that he had received from her the warmest congratulations for his pupil.",2.0683795674704015,0.8001160025596619,0.9405373930931091,0.9335556626319885,0.8774729371070862,0.9234345555305481,0.7907916903495789,0.8952938914299011,0.9303933382034302,0.7438863515853882,0.4757138788700104,0.8926443457603455,0.2066241055727005,0.38796401023864746,0.8883634805679321,0.8004482388496399,0.9523999094963074,0.9739936590194702,0.9601445198059082,0.8540070652961731
"His two - year teaching [by Henry Reinach] had grasped our knowledge more closely, devoted on my part and friendly also to my relatives on his part. Imagine, then, my surprise when I learned that my parents had not been informed of my entry into art. A flame of anger went up to my forehead; it seemed to me a betrayal. But he, with his old experience as a comedian, caressing my cheek with his beautiful hand jeweled to the little finger: ""Dear, the theater, it is better to see him from the armchair."" He already knew me engaged, and he was more grateful to see me in the care of a house than in the uncertainty and instability of a stage. [...] The family tightened more and more the brakes, prohibition to participate in any play [...] I was offered then also the possibility to enter the Italian cinematography, [...] but I didn't dare even mention it to my parents, although I felt attracted to this new and prestigious form of art. I looked forward to becoming an adult to declare my aspiration. But the moment came also before [...] with the interest [...] by Sabatino Lopez, who then presided at the performances of the Teatro del Popolo in Milan. He convinced my parents with his authority that being a stable theatre based in the same city, I could act as an actress and not stray from home.",2.0683795674704015,0.847282886505127,0.8641207814216614,0.8247513771057129,0.7382808327674866,0.8144316673278809,0.7273041605949402,0.8976913690567017,0.8604202270507812,0.7906019687652588,0.7269105911254883,0.8917994499206543,0.20852237939834595,0.692960798740387,0.6222184300422668,0.6443431973457336,0.6354084610939026,0.8533840775489807,0.8728243708610535,0.8816125392913818
"Ettore Paladini, director of the Company, [...] looked at us with good eyes and peers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tightened to its discipline. Discipline of soldier, just, in love with his work. [...] Virgilio Talli I immediately understood him: exuberant in spirit for his actors, [...] exuberant in love for the theater. I wasn't afraid of his screaming and his fury. [...] And he was an incomparable Master for me. The care of detail, although very minute, was never in him at the expense of the general idea of work.",2.0683795674704015,0.8436129093170166,0.9220917820930481,0.9236993193626404,0.9397507905960083,0.8324199318885803,0.7546323537826538,0.46839261054992676,0.8493797779083252,0.8890011310577393,0.646657407283783,0.9116508364677429,0.15175125002861023,0.8700794577598572,0.8309922218322754,0.781542956829071,0.6342565417289734,0.932195246219635,0.942457377910614,0.9234704971313477
"Added by Marco Praga as one of the few mature actresses for a place of responsibility and prominence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime undertaking that a very young and selfless spirit had to give to our country and to us actors with its high and human participation. While Duse, around the world, blessed this undertaking, Luigi Pirandello, interested in Marco Praga's criticism, wrote to Talli for me. Following Talli's reply, here is a poster from Pirandello in Milan with the precise task of writing me first actress. Our first understanding was like this: without seeing or speaking to us.",2.0683795674704015,0.9467012286186218,0.9276458621025085,0.9260836243629456,0.9230906963348389,0.8719490170478821,0.6992522478103638,0.6603803634643555,0.8987340927124023,0.8963354229927063,0.5454561114311218,0.9461290240287781,0.3312777280807495,0.5034481287002563,0.8789564967155457,0.812873899936676,0.9515970349311829,0.9614167213439941,0.9250176548957825,0.9551178812980652
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theatre to take my place. The Company was already reunited for some time; I [...] came last. A bald man with a small pointed beard, in the darkness of the stage, the pale and furrowed face, had leaped up with a portentous agility, in contrast to his appearance, as soon as someone said my name. And a warm and vigorous hand shook me over and over again, with that friendliness that is proper only to men who know how to give and do good. [...] Curiosity, interest, envy, struggles had been on since the beginning; struggles, I mean, by those who have always been opposed to every noble and disinterested art venture in the world of theatre. The wait for my presentation, exacerbated by the delay, was very lively. As with any major enterprise in the early days, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the Theatre and for me. I cried for consolation and bliss. Never again, afterward, did I have such a full and pure joy.",2.0683795674704015,0.8274948000907898,0.8696407079696655,0.8696315884590149,0.8057379126548767,0.886822521686554,0.7449353933334351,0.8660784363746643,0.8761249780654907,0.8462560772895813,0.8071255683898926,0.8544861674308777,0.3161050081253052,0.9436888694763184,0.8207675218582153,0.7000777125358582,0.28864631056785583,0.8557495474815369,0.9174349308013916,0.35234692692756653
"Alone, helped by my father's watchful and constant love, I took the reins of the first Company Marta Abba in 1929, all of young people led and directed by me.  [...] I followed to carry around my major interpretations of the Pirandelli repertoire. [...] wise men and experts of the theatre [...] catalogued my repertoire as a brain and only artistic (i.e. anti-commercial). And the voice spread to the public. Cerebral Marta Abba is great only in piradellian art. [...] And so the year after a second Company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, Penelope of Maugham, The Good Fairy of Molnar, Our companion of Antoine, and Anna Kapina taken from the novel of Tolstoi and the Cricket of the hearth taken from the novel of Dickens.",2.0756629405077547,0.807775616645813,0.8860721588134766,0.898110032081604,0.7952025532722473,0.7554600238800049,0.7076724171638489,0.7028130888938904,0.885445773601532,0.7938840985298157,0.5165159702301025,0.8281304836273193,0.45443740487098694,0.8774219155311584,0.6806104183197021,0.374308317899704,0.4674558937549591,0.930242121219635,0.8983311653137207,0.7244506478309631
"Returning to our homeland after many triumphs, the bitterest disappointment awaited us: we no longer knew where to go. For the debts incurred due to the reconstruction of the Odescalchi Theatre that had to be paid by the State and for the delays in payment, the Theatre had to abandon itself to the concessionary of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theatre in Rome. In fact, the Odescalchi Theatre was also called ""Theatre of the Eleven,"" and they put Luigi Pirandello at the head of it; the struggle was covered and insidious by a society that hijacked the entire monopoly of theatre in Italy: theatres, repertoire, Compagnie. In the face of this war I [...] remained to fight alongside Luigi Pirandello, then always exposed to all the vendetta of the opponents, feeling that the cause for which he fought was holy, and all in favor of us actors for the dignity of our profession and for the honor of the Italian Theatre. From the contracts that the companies did with the Compagnia del Teatro d'Arte of Rome, directed by Luigi Pirandello, it was demanded that next to the name of the Master figure as a diction of writing, unique and only, mine; [...] A Company that in all the nations of Europe had been welcomed with all the honors of the greatest theaters, was condemned to shoot almost only in the province [...] Only hope of salvation the South America. It had been promised to the American contractor that our Company would be alone in that year, 1926, for Argentina.",2.0756629405077547,0.8689636588096619,0.869008481502533,0.8397235870361328,0.7352690100669861,0.7920547723770142,0.783873438835144,0.443969190120697,0.8421909213066101,0.8426636457443237,0.727060854434967,0.8635899424552917,0.384673535823822,0.677900493144989,0.7098142504692078,0.6062768697738647,0.4042600691318512,0.8707869052886963,0.8716416358947754,0.7407891154289246
