text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse to this sick [the Italian theater] without interrogating those who have shown that they know with dignity and consciousness to exercise this troubled art, which will ever have rest, which will never touch a goal, because just one has reached it , another arises different to conquer. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, which if it is made up of many lives and gives the joy and torment of living them all, tomorrow is nothing more.",0.9746929400134832,0.40827676653862,0.04230480268597603,0.28219619393348694,0.4368622601032257,0.9051547646522522,0.2230384200811386,0.024586496874690056,0.23370636999607086,0.70537930727005,0.42250463366508484,0.2568320035934448,0.056966383010149,0.7779753804206848,0.031232351437211037,0.8877896666526794,0.03289904072880745,0.7318258285522461,0.7981867790222168,0.7057850360870361
"I was fourteen, when I introduced myself to the Secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with the firmer face, I still knock on that door; And, in the face of so much good and passionate will, here is the first tear to the regulations, dates, principles, customs. [...]",0.9611175419995561,0.46879062056541443,0.09501305222511292,0.36296918988227844,0.32082128524780273,0.665410578250885,0.147801011800766,0.09585607796907425,0.5774953961372375,0.32167303562164307,0.3073579967021942,0.1919327825307846,0.16451646387577057,0.16451646387577057,0.060197047889232635,0.755636990070343,0.05042406916618347,0.42250463366508484,0.8264318704605103,0.28219619393348694
"[The Academy] was like my second and most true home [...] Ophelia Mazzoni lent with an enchantment, I would like to say authoritarian, his teaching; [...] The joy of my first conquest was his judgment [...]. Here in the second year, replace her, Enrico Reinach: good, paternal, elegant. I knew how to find the two veins in me: the dramatic vein and the comic vein; Therefore, I was among its students the only one to which two scenes were entrusted to each essay, a dramatic and a comedian.",0.9523214430082589,0.20212802290916443,0.40827676653862,0.4843800365924835,0.29421496391296387,0.333720326423645,0.013337993063032627,0.14080816507339478,0.26971012353897095,0.09518112242221832,0.12549343705177307,0.1830088496208191,0.039601679891347885,0.3486451208591461,0.017729297280311584,0.43878522515296936,0.1919327825307846,0.5467381477355957,0.637030839920044,0.39233678579330444
"Among the memories of the Academy I cannot between leaving the greatest: the fortune of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good to see her in the face. [...] I had the meaning of his physical presence only when Enrico Reinach, at the end of the essay, told me radiant to have had the hottest congratulations from her for ""her student"".",0.927283626049757,0.0960254892706871,0.07606381922960281,0.1200256198644638,0.10105590522289276,0.13986565172672272,0.16451646387577057,0.050517670810222626,0.053403329104185104,0.05335398390889168,0.060086652636528015,0.05634009838104248,0.03541073203086853,0.03283695504069328,0.014957086183130741,0.14854057133197784,0.033148519694805145,0.10725032538175583,0.17356818914413452,0.19132767617702484
"His [by Enrico Reinach] teaching of two years had tightened our knowledge, devoted on my and friendly even towards my relatives on his part. So imagine my surprise, when I learned that my parents had not recommended my entry in art. A flame of anger climbed me to the forehead; A betrayal seemed to me. But he, with his old comedian experience, caressing my cheek with his beautiful hand jagged the little finger: ""Dear, the theater, it is better to see it from the armchair"". He already knew me engaged, and it was grateful to him to see me in the care of a house, rather than among the uncertainties and instability of a stage. [...] The family gripped the brakes more and more, forbidden to participate in any act [...] I also offended the possibility of entering Italian cinematography, [...] but you don't even dare to speak to my parents, although I felt attracted to me by This new and prestigious art form. I was looking forward to becoming of age to declare my aspiration. But the moment was also first [...] with the interest [...] of Sabatino Lopez, who then presided over the shows of the Teatro del Popolo in Milan. He convinced with his authority my parents that being stable theater based in the same city I could be an actress not moving away from home.",0.9815944510046393,0.2568320035934448,0.6379335522651672,0.6067315340042114,0.4063906967639923,0.7662936449050903,0.39233678579330444,0.6379335522651672,0.7049732804298401,0.4843800365924835,0.308190256357193,0.2806163728237152,0.3775406777858734,0.3345894515514374,0.10725032538175583,0.7431679368019104,0.24508501589298248,0.6379335522651672,0.8816148638725281,0.5467381477355957
"Ettore Paladini, director of the company, [...] looked at us with good eyes and tellers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tempon to his discipline. Discipline of soldier, of just, of in love with his work. [...] Virgilio Talli I understood it immediately: exuberant of mind for his actors, [...] exuberant of love for the theater. His cries and his outbursts were not afraid of me. [...] And it was an unparalleled master for me. The attention to detail, albeit very small, was never in him at the expense of the general idea of ​​work.",0.939352192915976,0.7065955400466919,0.6645402908325195,0.8663588762283325,0.8269913792610168,0.730289876461029,0.2689414322376251,0.2560870945453644,0.562176525592804,0.4378235340118408,0.22270013391971588,0.32082128524780273,0.333720326423645,0.9242786765098572,0.1830088496208191,0.9466953873634338,0.03299238160252571,0.9095862507820129,0.955026388168335,0.7427950501441956
"Sound by Marco Prague as one of the few mature actresses for a place of responsibility and pre -eminence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime Impro that a very young and disinterested spirit had to give to our country and to us actors with its high and human participation. While the Duse, around the world, blessed this company, here is that Luigi Pirandello, affected by the criticism of Marco Prague, writes to Talli for me. Following Talli's response, here in Milan a Pirandello place with the precise assignment of writing me first actress. Our first understanding took place like this: without being seen there or being spoken of us.",0.9271067989757285,0.637030839920044,0.46879062056541443,0.6233768463134766,0.7431679368019104,0.8267117738723755,0.8354835510253906,0.43878522515296936,0.531209409236908,0.531209409236908,0.5926666259765625,0.531209409236908,0.5457699298858643,0.45423004031181335,0.4378235340118408,0.7872777581214905,0.4532618522644043,0.730289876461029,0.755636990070343,0.8742920160293579
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theater to take my place. The company had already gathered for some time; I [...] I came last. A bald man and with a small pointed beard, in the darkness of the stage, his pale and furrowed face, had jumped up with a portentous agility, in contrast with his appearance, as soon as someone said my name. And a warm and vigorous hand shook mine over and over again, with that cordiality that is only proper to men who know how to give and do good. [...] Curiosity, interest, envy, struggles, had turned on from the beginning; Lotte, I mean, by those who have always been against every noble and disinterested art business in the world of theater. The expectation of my presentation, exacerbated by the delay, was very lively. As with every great enterprise in the first beginning, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the theater and for me. I cried of consolation and bliss. Never again, afterwards, I had such a full and pure joy.",0.9506414339412004,0.20149880647659302,0.08042966574430466,0.46879062056541443,0.18242552876472473,0.5,0.14104461669921875,0.2564593553543091,0.10659755766391754,0.17384852468967438,0.06773145496845245,0.17328819632530212,0.06400690227746964,0.42155182361602783,0.009218825027346611,0.36296918988227844,0.04236419126391411,0.3775406777858734,0.7057850360870361,0.3775406777858734
"Only, helped by the watchful and constant love of my father, I took the reins of the first company ""Marta Abba"" in 1929, all of young people led and directed by me.  [...] I followed to carry around my greatest interpretations of the Pirandellian repertoire. [...] Wise and expert men of the theater [...] cataloged my repertoire as a cerebral and only artistic (i.e. anti antommerial). And the voice had spread to the public. Cerebral Marta Abba and great only in Pirandellian art. [...] And so the year after a second company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, by Penelope di Maugham, the good fairy of Molnar, of our companion of Antoine, and of Anna Karenina taken from the novel of Tolstoi and the Grillo of the hearth taken from the novel by Dickens.",0.9399760829983279,0.46879062056541443,0.39233678579330444,0.531209409236908,0.42155182361602783,0.8077641129493713,0.5467381477355957,0.6522414088249207,0.39326852560043335,0.4378235340118408,0.2568320035934448,0.4532618522644043,0.09518112242221832,0.37662312388420105,0.03096751682460308,0.5765419602394104,0.5765419602394104,0.7310585379600525,0.39233678579330444,0.9576358199119568
"Returning to the homeland after so many triumphs the most bitter disappointment awaited us: we no longer knew where to go. For debts contracted due to the reconstruction of the Odescalchi Theater that had to be paid by the State and for the delays that occurred in the payment, the theater had to be abandoned to the dealer of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theater in Rome. In fact, the Odescalchi theater was also called ""theater of the Eleven"", and they placed Luigi Pirandello in charge; Covered and insidious struggle by a society that has grabbed the whole monopoly of theater in Italy: theaters, repertoires, companies. In the face of this war, I [...] remained to fight next to Luigi Pirandello, then always exposed to all the revenge of the opponents, feeling that the cause for which it was fought was holy, and all in favor of us actors for the dignity of ours profession and for the honor of Italian theater. From the contracts that companies made with the Compagnia del Teatro d'Arte in Rome, directed by Luigi Pirandello, it was demanded that alongside the name of the Maestro it would imagine as with the diction of writing, unique and only, mine; [...] A company that in all the nations of Europe had been welcomed with all the honors of the highest theaters, was condemned to turn almost only in the province [...] the only hope of salvation, South America. She had been promised to American impresario that our company would have been alone starting that year, 1926, for Argentina.",1.105492691975087,0.42155182361602783,0.5765419602394104,0.622459352016449,0.7193835973739624,0.9094254970550537,0.9363431930541992,0.20212802290916443,0.32167303562164307,0.40827676653862,0.532181978225708,0.43878522515296936,0.7879312038421631,0.562176525592804,0.06359858065843582,0.8074606657028198,0.03296123817563057,0.6926419734954834,0.9147487282752991,0.7981867790222168
