text,time,autodeterminazione,casa,corpo,dimensione spirituale,eventi della vita,eventi storici,famiglia,infanzia e adolescenza,invecchiamento,malinconia,performance di sé,politica,relazione con gli uomini,relazione con il mondo naturale,relazione con la realtà,relazione con le donne,scrivere,sentimenti e stati d animo,mestiere dell’attrice
"Non si può toccare il polso a questo ammalato [il Teatro italiano] senza interrogare chi ha dimostrato di sapere con dignità e coscienza esercitare questa travagliata nostra arte, che non avrà mai riposo, che non toccherà mai una mèta, perché appena una ne abbia raggiunta, un’altra ne sorge diversa da conquistare. Sicché, per noi, la nostra vita sarà sempre una povera cosa anche se agli altri paia splendida. Una vita, che se è fatta di tante vite e dà la gioia e il tormento di viverle tutte, domani poi non è più niente.",1.9326136610470712,0.0007096704212017357,1.9750534363538463e-07,0.00010720880527514964,0.037326887249946594,0.9046505093574524,5.649793456541374e-05,2.6995778057425923e-07,1.4823580158918048e-06,0.0019267346942797303,0.7981867790222168,0.006692850962281227,9.972941370506305e-06,6.962256520637311e-06,1.1726421007551835e-06,0.0019267346942797303,2.964905831959186e-07,0.0002611903182696551,0.9947799444198608,0.00043055712012574077
"Avevo quattordici anni, quando mi presentai alla segreteria dell’Accademia del Teatro dei Filodrammatici, per essere ammessa ai corsi di dizione e di recitazione di questa nostra scuola di Milano. Ma dovetti tornarmene indietro, delusa e triste, dopo un gentile ma fermo diniego non avendo ancora raggiunto l’età prescritta dai regolamenti per l’ammissione (sedici anni). L’anno dopo, come se avessi già raggiunto quell’età, col viso più fermo, bussai ancora a quella porta; e, di fronte a tanta buona e appassionata volontà, ecco il primo strappo ai regolamenti, alle date, ai principi, alle consuetudini. […]",1.9300561499549076,0.02931223064661026,7.00216901350359e-07,0.0004442183708306402,0.00043055712012574077,0.9046505093574524,3.426849070820026e-05,2.332074700461817e-06,0.22270013391971588,0.09534945338964462,0.9046505093574524,0.003172682598233223,1.1843138054246083e-05,5.285515385367034e-07,7.571149467366922e-07,0.0015011823270469904,2.785271533412015e-07,0.00012339458044152707,0.9525741338729858,0.02931223064661026
"[L’ Accademia] fu come una mia seconda e più vera casa […] Ofelia Mazzoni prestava con un incanto, vorrei dire autoritario, il suo insegnamento; […] La gioia della mia prima conquista fu il suo giudizio […]. Ecco poi nel secondo anno, sostituirsi a lei, Enrico Reinach: buono, paterno, signorile. Seppe trovare in me le due vene: la vena drammatica e quella comica; perciò, io fui tra le sue allieve l’unica alla quale a ogni saggio fossero affidate due scene, una drammatica e una comica.",1.9461626840056852,2.332074700461817e-06,0.9149009585380554,0.01798621006309986,0.01798621006309986,0.9933071732521057,1.2098656725356705e-06,4.313912143061316e-07,1.1843138054246083e-05,3.807014365975192e-07,9.777225074003582e-08,0.037326887249946594,3.412585840578686e-07,1.1125608580186963e-05,6.023573462243803e-08,0.0007096704212017357,1.6536895373064908e-06,0.008577484637498856,0.957912266254425,0.8807970285415649
"Tra i ricordi dell’Accademia non posso tra lasciare il più grande: la ventura di avere avuto tra le spettatrici, a uno dei saggi, Eleonora Duse. Non ebbi neanche il bene di vederla in viso. […] Ebbi il senso della sua presenza fisica solo quando Enrico Reinach, alla fine del saggio, mi disse raggiante d’aver avuto da lei le più calde congratulazioni per «la sua allieva ».",1.9515459559625015,3.3931446523638442e-06,6.27670374342415e-07,0.037326887249946594,0.037326887249946594,0.9796676635742188,9.461262379772961e-05,1.6797314401628682e-06,2.994440819747979e-06,9.818326361710206e-06,6.339210358419223e-06,0.0019267346942797303,6.577929525519721e-07,2.368799187024706e-06,2.496701370091614e-07,0.00043055712012574077,0.0002611903182696551,0.0009110511746257544,0.851952850818634,0.14804719388484955
"Il suo [di Enrico Reinach] insegnamento di due anni aveva stretta vieppiù la nostra conoscenza, devota da parte mia e amichevole anche verso i miei parenti da parte sua. Immaginarsi quindi la mia sorpresa, quando venni a sapere che ai miei genitori egli aveva sconsigliato la mia entrata in arte. Una fiamma di collera mi salì alla fronte; mi parve un tradimento. Ma lui, con la sua vecchia esperienza di comico, carezzandomi la guancia con la sua bella mano ingioiellata al mignolo: «Cara, il teatro, è meglio vederlo dalla poltrona». Mi sapeva già fidanzata, e gli era più grato vedermi tra le cure di una casa, anziché tra le incertezze e instabilità di un palcoscenico. […] La famiglia stringeva sempre più i freni, proibizione di partecipare a qualunque recita […] mi si offerse allora anche la possibilità di entrare nella cinematografia italiana, […] ma non osai neanche farne parola ai miei, benché mi sentissi attratta da questa nuova e prestigiosa forma d’arte. Attendevo con ansia di divenire maggiorenne per dichiarare la mia aspirazione. Ma il momento venne anche prima […] con l’interesse […] di Sabatino Lopez, che allora presiedeva agli spettacoli del Teatro del Popolo di Milano. Egli convinse con la sua autorità i miei genitori che trattandosi di teatro stabile con sede nella stessa città io potevo far l’attrice non allontanandomi da casa.",1.8790927770314738,0.07585817575454712,0.3775406777858734,0.006692850962281227,0.0015011823270469904,0.977022647857666,2.2125668692751788e-05,0.9324532747268677,0.7549149990081787,7.484622619813308e-05,4.356879799161106e-06,0.01798621006309986,2.2125668692751788e-05,8.57923566854879e-07,2.4579935598012526e-07,0.02931223064661026,8.57923566854879e-07,0.00043055712012574077,0.9399133324623108,0.9465966820716858
"Ettore Paladini, direttore della Compagnia, […] ci guardava con occhi buoni e scrutatori […], e duro ma illuminato in viso […] da una luce di intelligente bontà. La mia anima si temprò alla sua disciplina. Disciplina di soldato, di giusto, di innamorato del suo lavoro. […] Virgilio Talli io lo compresi subito: esuberante d’animo per i suoi attori, […] esuberante d’amore per il teatro. Non mi facevano paura le sue grida e le sue sfuriate. […] E fu per me Maestro impareggiabile. La cura del particolare, pur minutissima, non era mai in lui a scapito dell’idea generale del lavoro.",1.9249464679742232,2.994440819747979e-06,6.083590164962516e-07,0.0001195985751110129,0.060086652636528015,0.14804719388484955,1.760343138812459e-06,5.368750066736538e-07,1.2878952020400902e-06,9.132548370871518e-07,8.764246928194552e-08,0.010986941866576672,9.874637498796801e-07,0.037326887249946594,9.931192579415438e-08,0.022977370768785477,1.1793583354346993e-07,0.008577484637498856,0.9669140577316284,6.04891829425469e-06
"Additata da Marco Praga come una delle poche attrici mature per un posto di responsabilità e di preminenza, io ero predestinata a legare la mia giovinezza […] addestrata dai due maggiori maestri della scena di prosa in Italia, […] alla più bella e sublime impresa che uno spirito giovanissimo e disinteressato doveva regalare al nostro Paese e a noi attori con la sua alta e umana partecipazione. Mentre la Duse, in giro per il mondo, benediceva a questa impresa, ecco che Luigi Pirandello, interessato dalla critica di Marco Praga, scrive a Talli per me. In seguito alla risposta di Talli, ecco a Milano un messo di Pirandello col preciso incarico di scritturarmi prima attrice. La nostra prima intesa avvenne così: senza esserci veduti né esserci parlati.",1.9205008349381387,4.539786823443137e-05,6.083590164962516e-07,0.00033535013790242374,0.00407013762742281,0.9924227595329285,0.14804719388484955,4.737905499041517e-07,2.7535690605873242e-05,0.562176525592804,1.6028110394472606e-06,0.010986941866576672,3.0415963010455016e-06,8.57923566854879e-07,1.514326015694678e-07,0.010986941866576672,2.829133336490486e-07,0.006692850962281227,0.0015011823270469904,0.9399133324623108
"Arrivai a Roma con mia madre e corsi subito al Teatro Odescalchi per prendere il mio posto. La Compagnia era già riunita da qualche tempo; io […] arrivavo ultima. Un uomo calvo e con una piccola barba a punta, nell’oscurità del palcoscenico, il viso pallido e solcato, era balzato in piedi con una agilità portentosa, in contrasto col suo aspetto, appena qualcuno disse il mio nome. E una mano calda e vigorosa scosse più e più volte la mia, con quella cordialità che è propria soltanto agli uomini che sanno dare e fare il bene. […] Curiosità, interesse, invidie, lotte, si erano accese fin da principio; lotte, intendo dire, da parte di chi è stato sempre contrario a ogni nobile e disinteressata impresa d’arte nel mondo del teatro. L’attesa della mia presentazione, acuita dal ritardo, era vivissima. Come per ogni grande impresa ai primi inizi, il primo assestamento era difficile. […] Fu un trionfo. Un trionfo per Bontempelli, per Luigi Pirandello, per il Teatro e per me. Piangevo di consolazione e di beatitudine. Mai più, dopo, ebbi una così piena e pura gioia.",1.9051947370171547,0.00012339458044152707,6.577929525519721e-07,0.005220125429332256,0.622459352016449,0.9964063763618469,1.0129991096619051e-05,5.649793456541374e-05,2.0785171727766283e-05,2.6016164156317245e-06,3.807014365975192e-07,0.7981867790222168,7.338210252783028e-07,0.07585817575454712,4.450850212833757e-07,0.014063628390431404,8.186363515960693e-07,0.0009399438858963549,0.9964063763618469,0.010986941866576672
"Sola, aiutata dal vigile e costante amore di mio padre, io presi le redini della prima Compagnia « Marta Abba » nel 1929, tutta di giovani guidati e diretti da me.  […] Seguitai a portare in giro le mie maggiori interpretazioni del repertorio pirandelliano. […] uomini sapienti ed esperti del teatro […] catalogavano il mio repertorio come cerebrale e soltanto artistico (vale a dire anticommerciale). E la voce s’era propagata nel pubblico. Cerebrale Marta Abba e grande soltanto nell’arte pirandelliana. […] E così l’anno dopo una seconda Compagnia di mia formazione, con un repertorio che si andava sempre più accrescendo di nuove interpretazioni, tra le quali mi piace ricordare soprattutto quella di Madame Legros, di Penelope di Maugham, di La buona fata di Molnar, di La nostra compagna di Antoine, e di Anna Karenina tratta dal romanzo di Tolstoi e del Grillo del focolare tratto dal romanzo di Dickens.",1.9378745540743694,0.09534945338964462,7.224441560538253e-07,5.144220995134674e-05,0.006692850962281227,0.9840936064720154,0.00034599160426296294,0.0015011823270469904,1.003014176603756e-06,1.2878952020400902e-06,1.3007129382458515e-05,0.562176525592804,2.596158594769804e-07,4.683888619183563e-05,5.8382472190032786e-08,0.00033535013790242374,7.646536687389016e-06,0.022977370768785477,0.22270013391971588,0.9626730680465698
"Ritornando in Patria dopo tanti trionfi ci aspettava la più amara delusione: non sapevamo più dove andare. Per i debiti contratti a causa della ricostruzione del Teatro Odescalchi che dovevano essere pagati dallo Stato e per i ritardi intervenuti nel pagamento, il Teatro si dovette abbandonare al concessionario del Principe Odescalchi. […] La guerra cominciò fin dal giorno che la volontà e la passione di undici giovani fondarono un teatro stabile a Roma. Infatti il Teatro Odescalchi era detto anche «Teatro degli Undici », e vi posero a capo Luigi Pirandello; lotta coperta e insidiosa da parte di una società che s’era accaparrato tutto il monopolio del teatro in Italia: teatri, repertorio, Compagnie. Di fronte a questa guerra io […] rimasi a lottare accanto a Luigi Pirandello, esposta poi sempre a tutte le vendette degli avversari, sentendo che la causa per cui si combatteva era santa, e tutta in favore di noi attori per la dignità della nostra professione e per l'onore del Teatro Italiano. Fin dai contratti che le imprese facevano con la Compagnia del Teatro d’Arte di Roma, diretta da Luigi Pirandello, si esigeva che accanto al nome del Maestro figurasse come con dizione di scrittura, unico e solo, il mio; […] Una Compagnia che in tutte le nazioni d’Europa era stata accolta con tutti gli onori dei massimi teatri, fu condannata a girare quasi soltanto nella provincia […] Unica speranza di salvezza l’America del Sud. Era stato promesso all’impresario americano che la nostra Compagnia sarebbe stata sola a partire quell’anno, 1926, per l’Argentina.",1.929190224967897,0.0007096704212017357,4.936989171255846e-06,0.00043055712012574077,0.0019267346942797303,0.977022647857666,0.7772998809814453,5.203571049605671e-07,7.690377969993278e-07,8.57923566854879e-07,0.18242552876472473,0.000552778656128794,0.014063628390431404,0.00023050670279189944,1.5381732509922585e-07,0.008577484637498856,1.4005227910729445e-07,0.00017952796770259738,0.5,0.0019267346942797303
